#x_m,y_m,w_tr_right_m,w_tr_left_m
22.70413235,962.7423314,12.87640525,12.87640525
17.64556765,963.2808594,13.90216164,13.90216164
12.72406699,962.8195551,15.03560208,15.03560208
7.918104006,961.7122677,16.16434085,16.16434085
3.376195872,959.928444,17.27987815,17.27987815
-0.866308401,957.509744,18.32672758,18.32672758
-4.833933113,954.5924231,19.27376889,19.27376889
-8.529746211,951.3123043,20.20230162,20.20230162
-11.82642412,947.5682738,20.98238715,20.98238715
-14.66669976,943.3174339,21.48866879,21.48866879
-17.22144346,938.7912971,21.85818251,21.85818251
-19.57126492,934.1396218,22.17946172,22.17946172
-21.58235657,929.2972503,22.33020262,22.33020262
-23.31511935,924.2939541,22.29043728,22.29043728
-24.97560051,919.2478716,22.18565931,22.18565931
-26.66579641,914.2226033,22.10038188,22.10038188
-28.34654979,909.2052586,22.04460316,22.04460316
-29.97073463,904.1780922,22.02271185,22.02271185
-31.52258231,899.1334906,22.03059804,22.03059804
-33.00798137,894.0708384,22.05772576,22.05772576
-34.43325116,888.9896594,22.09259667,22.09259667
-35.8054308,883.8899682,22.12292711,22.12292711
-37.13754942,878.7759935,22.14239737,22.14239737
-38.44436658,873.6533611,22.14973879,22.14973879
-39.74045693,868.5275461,22.14360122,22.14360122
-41.04057995,863.4029354,22.12147934,22.12147934
-42.35922935,858.2826208,22.07994452,22.07994452
-43.70178502,853.1678866,22.01826868,22.01826868
-45.06535722,848.0584359,21.93838576,21.93838576
-46.4467571,842.9539143,21.84268165,21.84268165
-47.84280602,837.8539709,21.73373633,21.73373633
-49.25243359,832.758883,21.61491236,21.61491236
-50.67999424,827.6700575,21.49123935,21.49123935
-52.13121131,822.5888387,21.36775023,21.36775023
-53.61183314,817.5165628,21.24898481,21.24898481
-55.12760804,812.4545661,21.13899595,21.13899595
-56.68414562,807.4041459,21.04141544,21.04141544
-58.28057295,802.3647902,20.95781078,20.95781078
-59.90937111,797.3343305,20.886347,20.886347
-61.56496333,792.3113457,20.8243539,20.8243539
-63.2418837,787.2944546,20.76931943,20.76931943
-64.93466629,782.2822758,20.7188156,20.7188156
-66.63784519,777.2734281,20.67041802,20.67041802
-68.3460941,772.2665663,20.62170738,20.62170738
-70.05668875,767.260974,20.57144538,20.57144538
-71.76901973,762.2563978,20.51974528,20.51974528
-73.48251541,757.2525859,20.46680289,20.46680289
-75.19660413,752.2492864,20.41281996,20.41281996
-76.91071427,747.2462476,20.35800274,20.35800274
-78.62427419,742.2432176,20.30256061,20.30256061
-80.33671225,737.2399447,20.24670518,20.24670518
-82.04745618,732.2361767,20.19064971,20.19064971
-83.75575587,727.2316026,20.13466877,20.13466877
-85.46044074,722.2257716,20.07918065,20.07918065
-87.16027926,717.2182158,20.0246292,20.0246292
-88.85403757,712.2085001,19.97149534,19.97149534
-90.54048028,707.1962117,19.92028838,19.92028838
-92.21837195,702.1809383,19.87152803,19.87152803
-93.88648848,697.1622711,19.8257447,19.8257447
-95.54582169,692.1405589,19.7826991,19.7826991
-97.20221964,687.1178099,19.7404121,19.7404121
-98.86217409,682.0962522,19.6966236,19.6966236
-100.5321768,677.0781141,19.64902239,19.64902239
-102.2187195,672.0656236,19.59526903,19.59526903
-103.9282777,667.0610034,19.53304488,19.53304488
-105.6617383,662.0645652,19.46212851,19.46212851
-107.4062586,657.0719264,19.3873145,19.3873145
-109.1469256,652.0779963,19.31406427,19.31406427
-110.8688262,647.0776844,19.24772688,19.24772688
-112.5610759,642.0672729,19.19219639,19.19219639
-114.2281848,637.0482901,19.14599716,19.14599716
-115.8783398,632.0235174,19.10641447,19.10641447
-117.519728,626.9957362,19.07071259,19.07071259
-119.1605363,621.9677279,19.03607577,19.03607577
-120.8089457,616.9422714,18.99957984,18.99957984
-122.4729954,611.922093,18.95817058,18.95817058
-124.156579,606.9085131,18.91020424,18.91020424
-125.855822,601.9002252,18.85694471,18.85694471
-127.5659731,596.8956266,18.80003271,18.80003271
-129.2822809,591.8931145,18.74113535,18.74113535
-130.9999944,586.8910859,18.68192842,18.68192842
-132.7143621,581.8879382,18.62408904,18.62408904
-134.4206329,576.8820684,18.56929898,18.56929898
-136.1152772,571.8722851,18.51880251,18.51880251
-137.8002161,566.859232,18.47183183,18.47183183
-139.4788903,561.8440642,18.42704775,18.42704775
-141.1547402,556.8279371,18.38308973,18.38308973
-142.8312491,551.8120209,18.33858517,18.33858517
-144.5121076,546.7975588,18.2922149,18.2922149
-146.2002584,541.7855442,18.2429743,18.2429743
-147.8956733,536.7759727,18.19099425,18.19099425
-149.5976441,531.7686116,18.13667773,18.13667773
-151.3054627,526.7632284,18.08043727,18.08043727
-153.0184208,521.7595902,18.02269187,18.02269187
-154.7358102,516.7574646,17.96386446,17.96386446
-156.4569227,511.7566188,17.90437994,17.90437994
-158.1809853,506.756797,17.84469036,17.84469036
-159.9066587,501.757542,17.78547782,17.78547782
-161.6323097,496.7582921,17.72754253,17.72754253
-163.3561239,491.7584234,17.67161865,17.67161865
-165.0759943,486.7572119,17.61833226,17.61833226
-166.7899067,481.7539657,17.56826296,17.56826296
-168.4975946,476.7485924,17.52131175,17.52131175
-170.2001094,471.741452,17.47685994,17.47685994
-171.898535,466.7329154,17.43426956,17.43426956
-173.5939553,461.7233537,17.39289121,17.39289121
-175.2874543,456.713138,17.35206055,17.35206055
-176.9801158,451.7026393,17.31109641,17.31109641
-178.6730237,446.6922286,17.26930042,17.26930042
-180.3672612,441.6822769,17.22595852,17.22595852
-182.0634958,436.6730116,17.18051735,17.18051735
-183.7612747,431.6642749,17.13288756,17.13288756
-185.4599587,426.6558446,17.08306194,17.08306194
-187.1589088,421.6474984,17.03103818,17.03103818
-188.857625,416.6390617,16.97687703,16.97687703
-190.5559578,411.6304793,16.92079168,16.92079168
-192.2538123,406.6217149,16.86302317,16.86302317
-193.9510939,401.6127317,16.80381627,16.80381627
-195.6477075,396.6034935,16.74341834,16.74341834
-197.3435317,391.5939556,16.68208836,16.68208836
-199.0381325,386.5839796,16.62020487,16.62020487
-200.7308715,381.5733659,16.55822358,16.55822358
-202.421107,376.5619135,16.49660046,16.49660046
-204.1081971,371.5494218,16.43579066,16.43579066
-205.7915002,366.5356899,16.37624934,16.37624934
-207.4703743,361.520517,16.31843338,16.31843338
-209.1441778,356.5037024,16.26280378,16.26280378
